YearMonth|Region|Deposits|Loans
2012-01|AMAZONAS|197599745.82999998|280860884.66
2012-01|ANCASH|1884469547.98|2094580540.17
2012-01|APURIMAC|338617815.5|384651979.06
2012-01|AREQUIPA|4688528558.12|5550462485.24
2012-01|AYACUCHO|494898255.28000003|655269395.42
2012-01|CAJAMARCA|1535686950.53|1772462079.5
2012-01|CALLAO|2879917831.42|4085933682.53
2012-01|CUSCO|2471606893.25|2434032321.48
2012-01|EXTRANJERO|1486564874.06|1997302662.72
2012-01|HUANCAVELICA|212195301.60999998|136527438.24
2012-01|HUANUCO|487410507.95|830448071.6
2012-01|ICA|1781361541.62|2504614915.27
2012-01|JUNIN|1841371258.79|2801120598.38
2012-01|LA LIBERTAD|3620785441.08|5151799385.64
2012-01|LAMBAYEQUE|1652621635.25|3317694163.44
2012-01|LIMA|127525584803.79|110524646640.51
2012-01|LORETO|762150493.0699999|1406373220.91
2012-01|MADRE DE DIOS|197582236.82|399049469.91
2012-01|MOQUEGUA|637209340.54|516451201.02
2012-01|PASCO|409653904.68|330677172.04
2012-01|PIURA|2443596061.66|4338381525.47
2012-01|PUNO|925664352.46|1953802660.06
2012-01|SAN MARTIN|458293707.0|1576303798.81
2012-01|TACNA|1311088136.48|1228980798.6200001
2012-01|TUMBES|205214729.38|538085525.06
2012-01|UCAYALI|439541494.78999996|947277924.48
2012-02|AMAZONAS|216942348.31|285357500.97
2012-02|ANCASH|1857996687.23|2123594815.21
2012-02|APURIMAC|348702573.89|393176736.93
2012-02|AREQUIPA|4730436496.35|5555723501.02
2012-02|AYACUCHO|487609999.71000004|661195009.35
2012-02|CAJAMARCA|1503096294.5|1792198475.83
2012-02|CALLAO|2892293574.36|3912816497.14
2012-02|CUSCO|2442714632.79|2446031757.05
2012-02|EXTRANJERO|1426956905.45|1728112968.3899999
2012-02|HUANCAVELICA|215548260.78|137609182.98
2012-02|HUANUCO|491405572.51|845029765.93
2012-02|ICA|1771947493.03|2539624150.13
