"ENTIDAD_NOMBRE"|"ENTIDAD_TIPO"|"CODIGO_ENTIDAD_ID"|"ENTIDAD_PEER_GROUP1"|"ENTIDAD_SF_SUB_PEERGROUP"|"ENTIDAD_SF_PEERGROUP_CM"|"ENTIDAD_SF_COR"|"ENTIDAD_SF_UV_COLOR"
"ACCESO CRED.F.Crecer"|"Honramiento Fondo Crecer"|520|""|""|""|""|""
"Agrobanco"|"Banco"|125|"Banca Estatal"|"Banca Estatal"|"Microempresa Nivel II"|"Bn. Agrobanco"|"#FFBF00"
"ALMAFIN"|"Almacén General de Depósito"|264|""|""|""|"AGD. Almafin"|""
"ALMAPERU S.A."|"Almacén General de Depósito"|257|""|""|""|"AGD. Almaperu"|""
"ALTERNATIVA Reactiva"|"Honramiento Reactiva / FAE"|580|""|""|""|""|""
"ARGENPER"|"Transferencia de Fondos"|400|""|""|""|"ETF. Argenper"|""
"Azteca del Perú"|"Banco"|140|"Consumo"|"Consumo"|"Libre Disponibilidad"|"Bn. Alfin"|"#0B614B"
"BANBIF_F.Crecer"|"Honramiento Fondo Crecer"|517|""|""|""|""|""
"BANBIF_ReactFAE"|"Honramiento Reactiva / FAE"|518|""|""|""|""|""
"Banco BCI"|"Banco"|146|""|"Corp. y Grandes"|"Otros"|"Bn. Bci Perú"|"#3AC95C"
"BANCO CENTRAL PERU"|"Banco"|90|""|""|""|"Bn. Central"|""
"Banco Continental"|"Banco"|6|"Sistémico"|"Sistémico"|"Sistémico"|"Bn. BBVA"|"#013ADF"
"Banco de Comercio"|"Banco"|22|"Consumo"|"Consumo"|"Convenio"|"Bn. Comercio"|"#DF0101"
"Banco de Crédito"|"Banco"|1|"Sistémico"|"Sistémico"|"Sistémico"|"Bn. Crédito"|"#FF8000"
"Banco Falabella"|"Banco"|142|"Consumo"|"Consumo intensivo TC"|"Tarjetero"|"Bn. Falabella"|"#82FA58"
"Banco Financiero"|"Banco"|82|"Operaciones Múltiples"|"Corp"|"Convenio"|"Bn. Pichincha"|"#FADF00"
"Banco GNB"|"Banco"|126|"Operaciones Múltiples"|"Corp"|"Convenio"|"Bn. GNB"|"#E6E6E6"
"Banco ICBC"|"Banco"|137|"Corporativo"|"Corp. y Grandes"|"Otros"|"Bn. ICBC"|"#424242"
"Banco Interamericano de Finanzas"|"Banco"|55|"Operaciones Múltiples"|"Corp"|"Convenio"|"Bn. Banbif"|"#2ECCFA"
"Banco Ripley"|"Banco"|73|"Consumo"|"Consumo intensivo TC"|"Tarjetero"|"Bn. Ripley"|"#9A2EFE"
"Banco Santander"|"Banco"|127|"Corporativo"|"Corp. y Grandes"|"Otros"|"Bn. Santander"|"#DF3A01"
"BANK OF CHINA (PERU)"|"Banco"|138|""|"Corp"|"Otros"|"Bn. China"|"#874233"
"BBVA Fondo Crecer"|"Honramiento Fondo Crecer"|471|""|""|""|""|""
"BBVA ReactivaFAE"|"Honramiento Reactiva / FAE"|470|""|""|""|""|""
"BCO.COMERCIOReactFAE"|"Honramiento Reactiva / FAE"|516|""|""|""|""|""
"B.COMERCIO_F.Crecer"|"Honramiento Fondo Crecer"|819|""|""|""|""|""
"B.PICHINCHA ReactFAE"|"Honramiento Reactiva / FAE"|512|""|""|""|""|""
"C. LIMA ReactFAE"|"Honramiento Reactiva / FAE"|599|""|""|""|""|""
"C. PRYMERA ReactFAE"|"Honramiento Reactiva / FAE"|468|""|""|""|""|""
"C. SANTA.ReactFAE"|"Honramiento Reactiva / FAE"|588|""|""|""|""|""
"CAJA CAT PERU"|"Caja rural"|129|""|"Consumo intensivo TC"|"Tarjetero"|"CR. Cencosud"|"#5882FA"
"C.AREQUIPA F.Crecer"|"Honramiento Fondo Crecer"|593|""|""|""|""|""
"C.AREQUIPA.ReactFAE"|"Honramiento Reactiva / FAE"|596|""|""|""|""|""
"C.CUSCO ReactFAE"|"Honramiento Reactiva / FAE"|514|""|""|""|""|""
"C.HUANCAYO ReactFAE"|"Honramiento Reactiva / FAE"|510|""|""|""|""|""
