YearMonth|Deposits|Loans
2012-01|160889215418.94|157757790540.24
2012-02|163913969250.07|157573648844.23
2012-03|165008511914.17|159763559120.27
2012-04|164074499688.91998|160553934559.21
2012-05|167890768689.92|164931063489.81
2012-06|168162213031.22|167199973092.09
2012-07|168522578292.87|168354215951.36
2012-08|170616526719.78|169926267927.37
2012-09|171993855888.69|171949107291.53
2012-10|173123303867.37|173081172952.7
2012-11|175500390974.92|175965560036.66
2012-12|176921097417.34|177552973709.43
2013-01|180933770146.3|177967102471.27
2013-02|184611782615.61002|179564782448.33002
2013-03|185572837669.73|181059735044.77
2013-04|187724569842.13|184192257736.53
2013-05|190536626254.26|187969296014.13
2013-06|193909919142.95|189936425344.1
2013-07|200572487191.41|192794129867.16
2013-08|202893426506.71|197115842532.47
2013-09|203442770373.45|198337627608.13
2013-10|203672796130.87|200820229247.88998
2013-11|208111891225.49|206019652251.77
2013-12|212314405211.68|208470849450.38998
2014-01|213723590734.94|210353024918.26
2014-02|217655340528.36|211410795255.07
2014-03|217171314682.88998|213971466791.82
2014-04|216592293096.02|216500127826.02
2014-05|215821043934.68|217300598629.41
2014-06|218349847546.15|221037027830.85
2014-07|217827365683.68|222649617068.9
2014-08|216283021865.52|224511830654.32
2014-09|218504043959.88|227289937249.7
2014-10|219671860529.77|229827478797.46
2014-11|218499699945.59|231967646362.06
2014-12|222075637526.91998|236625452094.14
2015-01|224628088264.75|238822268615.82
2015-02|227326151727.45|240264117118.23
2015-03|226711725522.71|243366897938.58
2015-04|229675458826.88|247880953530.98
2015-05|230035515129.67|251265246194.43
2015-06|231351498142.62|252242683646.3
2015-07|233319422884.06|254341374694.5
2015-08|238100538551.03|259422034958.52002
2015-09|242124252044.46|262385017277.09
2015-10|246117004831.57|265645510765.18
2015-11|251213447233.1|271450782422.66
2015-12|255974580276.96|273424954753.9
2016-01|256093379164.99|275214070927.85
2016-02|260504357066.08|276106181418.03
2016-03|254653704900.92|273426211222.18
2016-04|250892831410.38998|274091131738.15
2016-05|254009859567.87|275956945646.9
2016-06|248376373767.18|275327571816.23
2016-07|252854046729.64|278352008723.81
2016-08|255988329104.0|279875389989.07
2016-09|253406729261.23|280981452988.03
2016-10|252646885653.01|280958368741.91
2016-11|255386305038.32|284612491566.47
2016-12|256429015616.86002|285488062275.34
2017-01|259220899938.29|282417164635.73
2017-02|260098780381.77|282809292246.32
2017-03|259247307307.97|283592448921.79
2017-04|259706416372.36|284492694926.41003
2017-05|263627767329.29|286153743739.43
2017-06|261762420838.76|285420982578.29
2017-07|261068224927.16|285610084442.55
2017-08|264059080009.48|286522878145.68
2017-09|268222141819.67|289540746836.37
2017-10|271485693591.72|291383072207.33
2017-11|273411394022.23|294989201517.35
2017-12|280946942305.93|297723077031.39
2018-01|284329036111.73|296380509501.13
2018-02|281973654408.29|298496027834.93
2018-03|279096162806.12|300403211617.98
2018-04|277868952519.97|304018038727.06
2018-05|283484274026.27|307605383974.98
2018-06|284208109876.74|308254376492.74
2018-07|284680349500.14|309157903399.89
2018-08|288076627357.36|310792434444.66
2018-09|285534436294.57|314161427701.88
2018-10|290294904387.33|318287728493.41
2018-11|294694879055.74|321240210870.75
2018-12|298789699354.0|325259684070.93
2019-01|301914205772.93|319514356463.64
2019-02|304247615937.13|318208269084.98
2019-03|305212912312.89|322846768663.52
2019-04|306999970685.91|324051825606.03
2019-05|314418393494.45|328066197316.89
2019-06|307447804114.08|327958355680.71
2019-07|310872647263.41|329021016897.94
2019-08|318588514012.72003|333688960215.04
2019-09|317898402225.59|334712066522.21
2019-10|318209451449.34|338244074062.95
2019-11|321881080989.67|342076815842.67
2019-12|323706076334.41|341686550735.0
2020-01|327201581468.39|342439113117.02
2020-02|332007788691.37|345631932067.84
2020-03|339992795845.68|351071411664.54
2020-04|348302924261.06|352676091942.11
2020-05|372269436707.67|373990197697.94
2020-06|375101816496.38|378077656427.3
2020-07|384569846903.19|383878141441.95
2020-08|388042628754.68|387464955153.51
2020-09|386649408236.1|387283196639.01
2020-10|390560262201.36|388705124595.83
2020-11|395788711535.56|388420874798.46
2020-12|404222867016.84|387158510356.47003
2021-01|406006675980.48|384822171535.29
2021-02|409472092883.2|382500091488.22003
2021-03|409818328053.62|384789456008.09
2021-04|406567931333.93|388351213489.86
2021-05|398960714956.5|395421391552.85
2021-06|403458171700.36|398730752699.39
2021-07|407325587072.84|405447159225.99
2021-08|413799128761.06|405599797063.16
2021-09|411568518144.79|405675605848.17
2021-10|403509993307.02|404600489994.21
2021-11|404372694440.71|409546161428.77
2021-12|407658362831.9|412351805917.06
2022-01|402065461554.96|408248771282.7
2022-02|400137015350.44|408805174532.35004
2022-03|395135351365.72003|412812226381.32
2022-04|397210572363.85|419543510180.76
2022-05|396045308452.11|419472895559.49
2022-06|397102949050.58997|426554789504.6
2022-07|406003490465.06|432403515346.02
2022-08|408682669306.89|428672884243.56
2022-09|415611001374.89996|430370306735.42
2022-10|413928541467.8|431295893250.55
2022-11|406699970588.94|429108360740.01
2022-12|405440265449.57|427465730710.16
2023-01|411858665657.76|425711369714.58
2023-02|410512020550.03|422898343119.65
2023-03|410202737906.7|425267340706.89
2023-04|404621314199.46|425690177990.7
2023-05|407837737274.72|424789089208.26
2023-06|405170644388.01|422942712242.39
2023-07|406785260734.19|422514446260.64
2023-08|409472323986.74|423577977719.7
2023-09|410233075309.83|425789103068.71
2023-10|413373155855.25|426613573091.13
2023-11|412859285063.21|425367120794.44
2023-12|416619213809.44|425958378451.61
2024-01|421400253093.49|423124776561.61
2024-02|422520542972.07|420086431133.71
2024-03|428407629760.39|420333734511.95
2024-04|428284464566.29|427220990373.72003
2024-05|429207121531.63|430329040246.86
2024-06|433540490311.4|431761828477.67
2024-07|436414430597.32|426659499860.68
2024-08|445736908027.77|427193392595.36
2024-09|449085112015.89|427370403729.2
