"CODIGO_UBIGEO"|"DEPARTAMENTO"|"PROVINCIA"|"DISTRITO"
"020801"|"Ancash"|"Casma"|"Casma"
"021201"|"Ancash"|"Huaylas"|"Caraz"
"210201"|"Puno"|"Azangaro"|"Azangaro"
"010201"|"Amazonas"|"Bagua"|"Bagua"
"070101"|"Callao"|"Prov. Const. del Callao"|"Callao"
"150112"|"Lima"|"Lima"|"Independencia"
"100101"|"Huanuco"|"Huanuco"|"Huanuco"
"230101"|"Tacna"|"Tacna"|"Tacna"
"021809"|"Ancash"|"Santa"|"Nuevo Chimbote"
"040103"|"Arequipa"|"Arequipa"|"Cayma"
"050101"|"Ayacucho"|"Huamanga"|"Ayacucho"
"080105"|"Cusco"|"Cusco"|"San Sebastian"
"210402"|"Puno"|"Chucuito"|"Desaguadero"
"080108"|"Cusco"|"Cusco"|"Wanchaq"
"081201"|"Cusco"|"Quispicanchi"|"Urcos"
"050401"|"Ayacucho"|"Huanta"|"Huanta"
"080205"|"Cusco"|"Acomayo"|"Pomacanchi"
"021701"|"Ancash"|"Recuay"|"Recuay"
"061201"|"Cajamarca"|"San Pablo"|"San Pablo"
"140117"|"Lambayeque"|"Chiclayo"|"Patapo"
"200504"|"Piura"|"Paita"|"Colan"
"210801"|"Puno"|"Melgar"|"Ayaviri"
"100601"|"Huanuco"|"Leoncio Prado"|"Rupa-Rupa"
"150107"|"Lima"|"Lima"|"Chaclacayo"
"131201"|"La Libertad"|"Viru"|"Viru"
"040107"|"Arequipa"|"Arequipa"|"Jacobo Hunter"
"140116"|"Lambayeque"|"Chiclayo"|"Cayaltí"
"050508"|"Ayacucho"|"La Mar"|"Tambo"
"022001"|"Ancash"|"Yungay"|"Yungay"
"080301"|"Cusco"|"Anta"|"Anta"
"230104"|"Tacna"|"Tacna"|"Ciudad Nueva"
"021808"|"Ancash"|"Santa"|"Santa"
"200201"|"Piura"|"Ayabaca"|"Ayabaca"
"160113"|"Loreto"|"Maynas"|"San Juan Bautista"
"090601"|"Huancavelica"|"Huaytara"|"Huaytara"
"100501"|"Huanuco"|"Huamalies"|"Llata"
"100901"|"Huanuco"|"Puerto Inca"|"Puerto Inca"
"120501"|"Junin"|"Junin"|"Junin"
"120604"|"Junin"|"Satipo"|"Mazamari"
"030701"|"Apurimac"|"Grau"|"Chuquibambilla"
"040108"|"Arequipa"|"Arequipa"|"La Joya"
"040313"|"Arequipa"|"Caraveli"|"Yauca"
"150121"|"Lima"|"Lima"|"Pueblo Libre (Magdalena Vieja)"
"130111"|"La Libertad"|"Trujillo"|"Victor Larco Herrera"
"130202"|"La Libertad"|"Ascope"|"Chicama"
"130207"|"La Libertad"|"Ascope"|"Santiago de Cao"
"130301"|"La Libertad"|"Bolivar"|"Bolivar"
"130614"|"La Libertad"|"Otuzco"|"Usquil"
"130801"|"La Libertad"|"Pataz"|"Tayabamba"
"131101"|"La Libertad"|"Gran Chimu"|"Cascas"
"080910"|"Cusco"|"La Convencion"|"Pichari"
"140306"|"Lambayeque"|"Lambayeque"|"Morrope"
"150301"|"Lima"|"Cajatambo"|"Cajatambo"
"230401"|"Tacna"|"Tarata"|"Tarata"
"170201"|"Madre de Dios"|"Manu"|"Manu"
"170302"|"Madre de Dios"|"Tahuamanu"|"Iberia"
"050706"|"Ayacucho"|"Parinacochas"|"Puyusca"
"010703"|"Amazonas"|"Utcubamba"|"Cumba"
"999999"|"Extranjero"|"Extranjero"|"Extranjero"
"211001"|"Puno"|"San Antonio de Putina"|"Putina"
"040801"|"Arequipa"|"La Union"|"Cotahuasi"
"080405"|"Cusco"|"Calca"|"Pisac"
"120808"|"Junin"|"Yauli"|"Santa Rosa de Sacco"
"090301"|"Huancavelica"|"Angaraes"|"Lircay"
"190306"|"Pasco"|"Oxapampa"|"Puerto Bermudez"
"090103"|"Huancavelica"|"Huancavelica"|"Acoria"
"050201"|"Ayacucho"|"Cangallo"|"Cangallo"
"050203"|"Ayacucho"|"Cangallo"|"Los Morochucos"
"190107"|"Pasco"|"Pasco"|"Paucartambo"
"110210"|"Ica"|"Chincha"|"Sunampe"
"250401"|"Ucayali"|"Purus"|"Purus"
"030604"|"Apurimac"|"Chincheros"|"Huaccana"
"240303"|"Tumbes"|"Zarumilla"|"Matapalo"
"220510"|"San Martin"|"Lamas"|"Tabalosos"
"020101"|"Ancash"|"Huaraz"|"Huaraz"
"020401"|"Ancash"|"Asuncion"|"Chacas"
"020501"|"Ancash"|"Bolognesi"|"Chiquian"
"021016"|"Ancash"|"Huari"|"Uco"
"100604"|"Huanuco"|"Leoncio Prado"|"Jose Crespo y Castillo"
"120201"|"Junin"|"Concepcion"|"Concepcion"
"061112"|"Cajamarca"|"San Miguel"|"Tongod"
"120606"|"Junin"|"Satipo"|"Pangoa"
